DateTime,AddedIPs,RemovedIPs
1647270249,9,11
1647309619,1851,2238
1647312967,56,26
1647320891,30,30
1647355685,13,0
1647357850,336,322
1647396020,1491,1946
1647399611,39,39
1647407526,27,30
1647442811,9,12
1647450493,371,681
1647482421,2057,2226
1647485527,59,32
1647493206,33,32
1647528246,9,9
1647542410,359,350
1647568820,1491,2014
1647570726,56,72
1647582485,23,60
1647614170,9,15
1647635769,352,319
1647651619,1274,1611
1647657374,47,70
1647669126,15,30
1647700327,18,13
1647728409,364,0
1647738021,1164,1735
1647743052,39,35
1647754812,28,29
1647789604,4,5
1647820809,350,297
1647824419,1151,2406
1647828487,23,0
1647832325,31,52
1647840248,29,0
1647873128,9,0
1647910821,2245,2173
1647913212,345,301
1647914894,21,25
1647918723,14,18
1647926405,26,29
1647961926,15,13
1647997218,1488,2155
1648004165,49,85
1648005151,354,308
1648011848,35,25
1648047365,17,12
1648083620,1434,1802
1648089125,56,0
1648097070,349,307
1648100645,35,69
1648132804,12,0
1648170019,1544,2166
1648174568,50,53
1648186087,26,0
1648188508,247,212
1648188970,122,95
1648222329,9,19
1648256419,1656,2149
1648260247,23,14
1648264083,25,43
1648271763,32,37
1648280168,367,298
1648308247,8,11
1648342818,1277,1929
1648350006,65,43
1648357683,21,27
1648371132,372,318
1648393448,9,0
1648429221,1227,2099
1648436167,47,54
1648443849,26,22
1648462831,330,279
1648478645,12,10
1648515618,1625,2208
1648521126,57,17
1648532646,28,55
1648555215,351,304
1648567207,10,17
1648602019,1741,2164
1648606325,26,16
1648610165,44,47
1648618032,34,28
1648647154,372,320
1648653367,15,12
1648688419,1765,2413
1648692248,28,17
1648696086,23,16
1648703766,29,0
1648738564,15,0
1648740030,366,318
1648774821,1908,1763
1648780811,54,25
1648792330,20,55
1648823525,21,16
1648832168,368,318
1648861219,1652,1647
1648865771,57,44
1648877285,39,25
1648912327,19,35
1648923614,360,316
1648947617,1267,1810
1648951262,35,25
1648955049,28,49
1648962966,33,0
1648997765,12,20
1649015549,363,318
1649034020,1116,2086
1649040247,59,72
1649051766,23,49
1649082968,6,10
1649107472,370,319
1649120419,1634,2368
1649125928,72,56
1649137447,30,33
1649169126,15,0
1649199152,375,341
1649206818,1529,1725
1649212567,59,25
1649224089,24,26
1649258648,13,24
1649291051,371,310
1649293219,1627,2175
1649297048,29,27
1649300885,27,23
1649308569,25,28
1649343605,10,0
1649379619,1567,2249
1649383449,350,333
1649386087,62,25
1649394018,26,32
1649428808,14,12
1649466019,1488,1825
1649471769,61,50
1649475148,352,321
1649483531,38,23
1649514969,13,23
1649548819,1297,1638
1649557926,54,97
1649567529,353,323
1649569686,38,24
1649604488,5,3
1649631619,1170,1987
1649643367,59,31
1649654887,28,26
1649659713,358,335
1649690169,9,5
1649729051,39,24
1649733127,33,38
1649740808,39,31
1649751851,388,320
1649757619,2423,2781
1649775607,9,11
1649818569,67,45
1649826251,25,27
1649843530,373,354
1649844017,1561,1984
1649860810,13,0
1649903771,64,0
1649915140,47,24
1649930420,1621,2214
1649935233,354,317
1649949846,13,20
1649988966,83,50
1650000725,42,29
1650016819,1656,1873
1650027129,356,282
1650035285,14,17
1650074652,37,18
1650078485,29,48
1650086407,25,35
1650099618,1373,1511
1650119533,362,315
1650121449,10,9
1650160808,29,30
1650164649,39,36
1650172329,32,0
1650186021,1286,1651
1650208085,5,6
1650210968,400,326
1650250569,64,62
1650258252,18,30
1650272418,1266,1849
1650293285,7,7
1650302650,366,320
1650335765,59,44
